,pathway,ligand,receptor,interaction,clusters
0,TGFb,Tgfb1,Tgfbr1,Secreted Signaling,9
1,TGFb,Tgfb1,Tgfbr2,Secreted Signaling,3
2,GDF,Gdf11,Tgfbr1,Secreted Signaling,9
3,WNT,Wnt10a,Fzd2,Secreted Signaling,4
4,WNT,Wnt10b,Fzd2,Secreted Signaling,2
5,ncWNT,Wnt5a,Fzd2,Secreted Signaling,7
6,NRG,Nrg1,Itgav,Secreted Signaling,15
7,NRG,Nrg1,Itgb3,Secreted Signaling,15
8,FGF,Fgf7,Fgfr1,Secreted Signaling,7
9,PDGF,Pdgfa,Pdgfra,Secreted Signaling,8
10,PDGF,Pdgfb,Pdgfra,Secreted Signaling,3
11,IGF,Igf1,Itgav,Secreted Signaling,1
12,IGF,Igf1,Itgb3,Secreted Signaling,2
13,IGF,Igf1,Itga6,Secreted Signaling,18
14,IGF,Igf1,Itgb4,Secreted Signaling,18
15,IGF,Igfl3,Igflr1,Secreted Signaling,6
16,CCL,Ccl5,Ccr1,Secreted Signaling,5
17,CCL,Ccl3,Ccr1,Secreted Signaling,5
18,CCL,Ccl8,Ccr1,Secreted Signaling,9
19,CCL,Ccl9,Ccr1,Secreted Signaling,9
20,CCL,Ccl6,Ccr1,Secreted Signaling,9
21,CCL,Ccl7,Ccr1,Secreted Signaling,9
22,CCL,Ccl8,Ccr2,Secreted Signaling,19
23,CCL,Ccl6,Ccr2,Secreted Signaling,19
24,CCL,Ccl7,Ccr2,Secreted Signaling,19
25,CCL,Ccl2,Ccr2,Secreted Signaling,19
26,CCL,Ccl12,Ccr2,Secreted Signaling,19
27,CCL,Ccl27a,Ccr2,Secreted Signaling,21
28,CCL,Ccl17,Ccr4,Secreted Signaling,10
29,CCL,Ccl22,Ccr4,Secreted Signaling,10
30,CCL,Ccl5,Ccr4,Secreted Signaling,5
31,CCL,Ccl4,Ccr5,Secreted Signaling,5
32,CCL,Ccl5,Ccr5,Secreted Signaling,5
33,CCL,Ccl3,Ccr5,Secreted Signaling,5
34,CCL,Ccl8,Ccr5,Secreted Signaling,9
35,CCL,Ccl20,Ccr6,Secreted Signaling,10
36,CCL,Ccl21a,Ccr7,Secreted Signaling,10
37,CCL,Ccl21a,Ackr4,Secreted Signaling,18
38,CCL,Ccl1,Ccr8,Secreted Signaling,5
39,CCL,Ccl27a,Ccr10,Secreted Signaling,4
40,CCL,Ccl1,Ackr4,Secreted Signaling,18
41,CCL,Ccl8,Ackr4,Secreted Signaling,18
42,CCL,Ccl1,Ackr1,Secreted Signaling,5
43,CCL,Ccl2,Ackr1,Secreted Signaling,3
44,CCL,Ccl5,Ackr1,Secreted Signaling,5
45,CCL,Ccl7,Ackr1,Secreted Signaling,3
46,CCL,Ccl8,Ackr1,Secreted Signaling,3
47,CCL,Ccl11,Ackr1,Secreted Signaling,2
48,CCL,Ccl17,Ackr1,Secreted Signaling,3
49,CXCL,Cxcl9,Cxcr3,Secreted Signaling,15
50,CXCL,Cxcl10,Cxcr3,Secreted Signaling,15
51,CXCL,Cxcl13,Cxcr3,Secreted Signaling,2
52,CXCL,Pf4,Cxcr3,Secreted Signaling,15
53,CXCL,Cxcl16,Cxcr6,Secreted Signaling,19
54,CXCL,Cxcl1,Ackr1,Secreted Signaling,3
55,CXCL,Cxcl2,Ackr1,Secreted Signaling,15
56,CXCL,Cxcl3,Ackr1,Secreted Signaling,3
57,CXCL,Cxcl9,Ackr1,Secreted Signaling,15
58,CXCL,Cxcl10,Ackr1,Secreted Signaling,15
59,CXCL,Cxcl13,Ackr1,Secreted Signaling,2
60,MIF,Mif,Cd74,Secreted Signaling,14
61,MIF,Mif,Cxcr4,Secreted Signaling,9
62,MIF,Mif,Cd44,Secreted Signaling,3
63,IL2,Il2,Il2ra,Secreted Signaling,0
64,IL2,Il2,Il2rb,Secreted Signaling,0
65,IL2,Il2,Il2rg,Secreted Signaling,10
66,IL2,Il4,Il2rg,Secreted Signaling,10
67,IL2,Il9,Il9r,Secreted Signaling,10
68,IL2,Il9,Il2rg,Secreted Signaling,10
69,IL2,Tslp,Il7r,Secreted Signaling,10
70,IL2,Tslp,Crlf2,Secreted Signaling,6
71,IL4,Il5,Csf2rb,Secreted Signaling,14
72,IL4,Csf2,Csf2ra,Secreted Signaling,14
73,IL4,Csf2,Csf2rb,Secreted Signaling,14
74,IL6,Il6,Il6st,Secreted Signaling,17
75,IL12,Il12b,Il12rb1,Secreted Signaling,10
76,IL12,Il12b,Il12rb2,Secreted Signaling,17
77,IL12,Ebi3,Il27ra,Secreted Signaling,3
78,IL12,Ebi3,Il6st,Secreted Signaling,15
79,LIFR,Clcf1,Lifr,Secreted Signaling,2
80,OSM,Osm,Lifr,Secreted Signaling,15
81,OSM,Osm,Il6st,Secreted Signaling,15
82,IL10,Il10,Il10ra,Secreted Signaling,6
83,IL10,Il10,Il10rb,Secreted Signaling,9
84,IL1,Il18,Il18r1,Secreted Signaling,0
85,IL1,Il18,Il18rap,Secreted Signaling,6
