,spacing,type,metric,value,run
7,1024,MAGIC,Spearman,0.6,0
52,512,MAGIC,Spearman,0.2848484848484848,0
97,256,MAGIC,Spearman,0.231578947368421,0
142,128,MAGIC,Spearman,0.2256690036535993,0
187,16,MAGIC,Spearman,0.5726513426212667,0
232,8,MAGIC,Spearman,0.6908200786434013,0
277,4,MAGIC,Spearman,0.7812846083101493,0
317,16,Wavelet,Spearman,0.639760166980121,0
322,8,Wavelet,Spearman,0.7417311870238388,0
327,4,Wavelet,Spearman,0.8170527136337369,0
337,2,MAGIC,Spearman,0.8060607724257238,0
377,2,Wavelet,Spearman,0.838988655662692,0
382,16,Wavelet_full,Spearman,0.7697359873394142,0
387,8,Wavelet_full,Spearman,0.8253242811501598,0
392,4,Wavelet_full,Spearman,0.8569837963416297,0
397,1024,Wavelet_full,Spearman,0.7,0
402,1024,Wavelet,Spearman,0.7,0
407,512,Wavelet_full,Spearman,0.7696969696969697,0
412,512,Wavelet,Spearman,0.4727272727272726,0
417,256,Wavelet_full,Spearman,0.763157894736842,0
422,256,Wavelet,Spearman,0.6195488721804511,0
427,128,Wavelet_full,Spearman,0.7603189493433397,0
432,128,Wavelet,Spearman,0.6304878048780489,0
437,64,Wavelet_full,Spearman,0.7396293579837883,0
442,64,Wavelet,Spearman,0.5727482960077896,0
447,32,Wavelet_full,Spearman,0.7819710631923078,0
452,32,Wavelet,Spearman,0.4963160277600332,0
457,2,Wavelet_full,Spearman,0.8608321749811481,0
467,32,MAGIC,Spearman,0.5472091919648832,0
512,64,MAGIC,Spearman,0.366516553067186,0
7,1024,MAGIC,Spearman,0.15,1
52,512,MAGIC,Spearman,0.2121212121212121,1
97,256,MAGIC,Spearman,0.3345864661654135,1
142,128,MAGIC,Spearman,0.4299348276883579,1
187,16,MAGIC,Spearman,0.600303947139585,1
232,8,MAGIC,Spearman,0.7252917915949866,1
277,4,MAGIC,Spearman,0.7948783276021298,1
317,16,Wavelet,Spearman,0.6660941819438915,1
322,8,Wavelet,Spearman,0.7481781518800688,1
327,4,Wavelet,Spearman,0.8233165778666098,1
337,2,MAGIC,Spearman,0.8146167602408743,1
377,2,Wavelet,Spearman,0.8396135914734189,1
382,16,Wavelet_full,Spearman,0.7912600572820023,1
387,8,Wavelet_full,Spearman,0.8282770213811749,1
392,4,Wavelet_full,Spearman,0.8549435415958667,1
397,1024,Wavelet_full,Spearman,0.8999999999999998,1
402,1024,Wavelet,Spearman,0.8499999999999999,1
407,512,Wavelet_full,Spearman,0.8727272727272726,1
412,512,Wavelet,Spearman,0.7212121212121211,1
417,256,Wavelet_full,Spearman,0.8556390977443609,1
422,256,Wavelet,Spearman,0.5909774436090225,1
427,128,Wavelet_full,Spearman,0.6929643527204503,1
432,128,Wavelet,Spearman,0.678621506862842,1
437,64,Wavelet_full,Spearman,0.7430030412625349,1
442,64,Wavelet,Spearman,0.518707400194742,1
447,32,Wavelet_full,Spearman,0.7385206872826933,1
452,32,Wavelet,Spearman,0.4274951489563978,1
457,2,Wavelet_full,Spearman,0.8575777324714668,1
467,32,MAGIC,Spearman,0.3713943276750662,1
512,64,MAGIC,Spearman,0.4929304872342847,1
7,1024,MAGIC,Spearman,0.7999999999999999,2
52,512,MAGIC,Spearman,0.3818181818181818,2
97,256,MAGIC,Spearman,0.3090225563909774,2
142,128,MAGIC,Spearman,0.4289769921990718,2
187,16,MAGIC,Spearman,0.5811168568311279,2
232,8,MAGIC,Spearman,0.6961986483165398,2
277,4,MAGIC,Spearman,0.7666497844798621,2
317,16,Wavelet,Spearman,0.6598649185789505,2
322,8,Wavelet,Spearman,0.7503266896043255,2
327,4,Wavelet,Spearman,0.8009127226739889,2
337,2,MAGIC,Spearman,0.8043194273065513,2
377,2,Wavelet,Spearman,0.8379813670864664,2
382,16,Wavelet_full,Spearman,0.7916275625888429,2
387,8,Wavelet_full,Spearman,0.8385881297616122,2
392,4,Wavelet_full,Spearman,0.8581581119235394,2
397,1024,Wavelet_full,Spearman,0.8999999999999998,2
402,1024,Wavelet,Spearman,0.7,2
407,512,Wavelet_full,Spearman,0.8242424242424242,2
412,512,Wavelet,Spearman,0.7212121212121211,2
417,256,Wavelet_full,Spearman,0.8496240601503758,2
422,256,Wavelet,Spearman,0.6067669172932331,2
427,128,Wavelet_full,Spearman,0.8101387380270565,2
432,128,Wavelet,Spearman,0.6743655574207563,2
437,64,Wavelet_full,Spearman,0.7850630382275952,2
442,64,Wavelet,Spearman,0.4822784810126582,2
447,32,Wavelet_full,Spearman,0.7414308933102512,2
452,32,Wavelet,Spearman,0.478691659686112,2
457,2,Wavelet_full,Spearman,0.8586987797064707,2
467,32,MAGIC,Spearman,0.4071849662562626,2
512,64,MAGIC,Spearman,0.4561139809557531,2
7,1024,MAGIC,Spearman,0.5499999999999999,3
52,512,MAGIC,Spearman,0.2666666666666666,3
97,256,MAGIC,Spearman,0.0864661654135338,3
142,128,MAGIC,Spearman,0.4851782363977486,3
187,16,MAGIC,Spearman,0.5875801356344794,3
232,8,MAGIC,Spearman,0.7126398869501107,3
277,4,MAGIC,Spearman,0.783124648399775,3
317,16,Wavelet,Spearman,0.6175352587127786,3
322,8,Wavelet,Spearman,0.7386638240353895,3
327,4,Wavelet,Spearman,0.8105351511978814,3
337,2,MAGIC,Spearman,0.8124622199118863,3
377,2,Wavelet,Spearman,0.8411329546040447,3
382,16,Wavelet_full,Spearman,0.7779474158524278,3
387,8,Wavelet_full,Spearman,0.8255847874170559,3
392,4,Wavelet_full,Spearman,0.8485135803606916,3
397,1024,Wavelet_full,Spearman,0.8999999999999998,3
402,1024,Wavelet,Spearman,0.7,3
407,512,Wavelet_full,Spearman,0.7818181818181817,3
412,512,Wavelet,Spearman,0.509090909090909,3
417,256,Wavelet_full,Spearman,0.7503759398496239,3
422,256,Wavelet,Spearman,0.6984962406015037,3
427,128,Wavelet_full,Spearman,0.7289128073466971,3
432,128,Wavelet,Spearman,0.6173076923076923,3
437,64,Wavelet_full,Spearman,0.7109664070107109,3
442,64,Wavelet,Spearman,0.58291076012595,3
447,32,Wavelet_full,Spearman,0.6604574575629965,3
452,32,Wavelet,Spearman,0.4337951136051491,3
457,2,Wavelet_full,Spearman,0.8581029111715184,3
467,32,MAGIC,Spearman,0.3748829377507923,3
512,64,MAGIC,Spearman,0.3486127796254378,3
7,1024,MAGIC,Spearman,-0.3,4
52,512,MAGIC,Spearman,0.109090909090909,4
97,256,MAGIC,Spearman,0.4248120300751879,4
142,128,MAGIC,Spearman,0.2982176360225141,4
187,16,MAGIC,Spearman,0.5821306194263602,4
232,8,MAGIC,Spearman,0.7411589088228066,4
277,4,MAGIC,Spearman,0.7870773541910453,4
317,16,Wavelet,Spearman,0.632012376536893,4
322,8,Wavelet,Spearman,0.7511938314082084,4
327,4,Wavelet,Spearman,0.8164658649996921,4
332,2,Wavelet,Spearman,0.8367366827754061,4
342,2,MAGIC,Spearman,0.8046679131650615,4
382,16,Wavelet_full,Spearman,0.7926007266374779,4
387,8,Wavelet_full,Spearman,0.8474210437371081,4
392,1024,Wavelet_full,Spearman,0.8999999999999998,4
397,1024,Wavelet,Spearman,0.1999999999999999,4
402,512,Wavelet_full,Spearman,0.8303030303030302,4
407,512,Wavelet,Spearman,0.5878787878787878,4
412,256,Wavelet_full,Spearman,0.8736842105263156,4
417,256,Wavelet,Spearman,0.7075187969924811,4
