,1,2,3,4
0,FDC,FDC,1,intercellular
1,B_GC_LZ,FDC,7,intercellular
2,T_CD4+_TfH_GC,FDC,0,intercellular
3,B_GC_prePB,FDC,4,intercellular
4,B_Cycling,FDC,11,intercellular
5,B_GC_DZ,FDC,9,intercellular
6,FDC,B_GC_LZ,12,intercellular
7,B_GC_LZ,B_GC_LZ,36,intercellular
8,T_CD4+_TfH_GC,B_GC_LZ,3,intercellular
9,B_GC_prePB,B_GC_LZ,30,intercellular
10,B_Cycling,B_GC_LZ,52,intercellular
11,B_GC_DZ,B_GC_LZ,37,intercellular
12,FDC,T_CD4+_TfH_GC,2,intercellular
13,B_GC_LZ,T_CD4+_TfH_GC,11,intercellular
14,T_CD4+_TfH_GC,T_CD4+_TfH_GC,2,intercellular
15,B_GC_prePB,T_CD4+_TfH_GC,10,intercellular
16,B_Cycling,T_CD4+_TfH_GC,11,intercellular
17,B_GC_DZ,T_CD4+_TfH_GC,9,intercellular
18,FDC,B_GC_prePB,11,intercellular
19,B_GC_LZ,B_GC_prePB,36,intercellular
20,T_CD4+_TfH_GC,B_GC_prePB,3,intercellular
21,B_GC_prePB,B_GC_prePB,27,intercellular
22,B_Cycling,B_GC_prePB,52,intercellular
23,B_GC_DZ,B_GC_prePB,37,intercellular
24,FDC,B_Cycling,17,intercellular
25,B_GC_LZ,B_Cycling,66,intercellular
26,T_CD4+_TfH_GC,B_Cycling,7,intercellular
27,B_GC_prePB,B_Cycling,57,intercellular
28,B_Cycling,B_Cycling,261,intercellular
29,B_GC_DZ,B_Cycling,76,intercellular
30,FDC,B_GC_DZ,12,intercellular
31,B_GC_LZ,B_GC_DZ,34,intercellular
32,T_CD4+_TfH_GC,B_GC_DZ,3,intercellular
33,B_GC_prePB,B_GC_DZ,28,intercellular
34,B_Cycling,B_GC_DZ,50,intercellular
35,B_GC_DZ,B_GC_DZ,33,intercellular
36,FDC,FDC,10,intracellular
37,B_GC_LZ,FDC,0,intracellular
38,T_CD4+_TfH_GC,FDC,0,intracellular
39,B_GC_prePB,FDC,0,intracellular
40,B_Cycling,FDC,0,intracellular
41,B_GC_DZ,FDC,0,intracellular
42,FDC,B_GC_LZ,0,intracellular
43,B_GC_LZ,B_GC_LZ,6,intracellular
44,T_CD4+_TfH_GC,B_GC_LZ,0,intracellular
45,B_GC_prePB,B_GC_LZ,0,intracellular
46,B_Cycling,B_GC_LZ,0,intracellular
47,B_GC_DZ,B_GC_LZ,0,intracellular
48,FDC,T_CD4+_TfH_GC,0,intracellular
49,B_GC_LZ,T_CD4+_TfH_GC,0,intracellular
50,T_CD4+_TfH_GC,T_CD4+_TfH_GC,8,intracellular
51,B_GC_prePB,T_CD4+_TfH_GC,0,intracellular
52,B_Cycling,T_CD4+_TfH_GC,0,intracellular
53,B_GC_DZ,T_CD4+_TfH_GC,0,intracellular
54,FDC,B_GC_prePB,0,intracellular
55,B_GC_LZ,B_GC_prePB,0,intracellular
56,T_CD4+_TfH_GC,B_GC_prePB,0,intracellular
57,B_GC_prePB,B_GC_prePB,2,intracellular
58,B_Cycling,B_GC_prePB,0,intracellular
59,B_GC_DZ,B_GC_prePB,0,intracellular
60,FDC,B_Cycling,0,intracellular
61,B_GC_LZ,B_Cycling,0,intracellular
62,T_CD4+_TfH_GC,B_Cycling,0,intracellular
63,B_GC_prePB,B_Cycling,0,intracellular
64,B_Cycling,B_Cycling,51,intracellular
65,B_GC_DZ,B_Cycling,0,intracellular
66,FDC,B_GC_DZ,0,intracellular
67,B_GC_LZ,B_GC_DZ,0,intracellular
68,T_CD4+_TfH_GC,B_GC_DZ,0,intracellular
69,B_GC_prePB,B_GC_DZ,0,intracellular
70,B_Cycling,B_GC_DZ,0,intracellular
71,B_GC_DZ,B_GC_DZ,3,intracellular
