	Source	Target	Weight
0	B_preGC	B_preGC	8
1	B_mem	B_preGC	0
2	Macrophages_M1	B_preGC	0
3	DC_cDC1	B_preGC	0
4	NKT	B_preGC	0
5	Mast	B_preGC	0
6	Monocytes	B_preGC	0
7	Endo	B_preGC	0
8	DC_cDC2	B_preGC	0
9	VSMC	B_preGC	0
10	T_CD4+	B_preGC	0
11	ILC	B_preGC	0
12	B_activated	B_preGC	0
13	Macrophages_M2	B_preGC	0
14	DC_pDC	B_preGC	0
15	NK	B_preGC	0
16	B_preGC	B_mem	0
17	B_mem	B_mem	7
18	Macrophages_M1	B_mem	0
19	DC_cDC1	B_mem	0
20	NKT	B_mem	0
21	Mast	B_mem	0
22	Monocytes	B_mem	0
23	Endo	B_mem	0
24	DC_cDC2	B_mem	0
25	VSMC	B_mem	0
26	T_CD4+	B_mem	0
27	ILC	B_mem	0
28	B_activated	B_mem	0
29	Macrophages_M2	B_mem	0
30	DC_pDC	B_mem	0
31	NK	B_mem	0
32	B_preGC	Macrophages_M1	0
33	B_mem	Macrophages_M1	0
34	Macrophages_M1	Macrophages_M1	1
35	DC_cDC1	Macrophages_M1	0
36	NKT	Macrophages_M1	0
37	Mast	Macrophages_M1	0
38	Monocytes	Macrophages_M1	0
39	Endo	Macrophages_M1	0
40	DC_cDC2	Macrophages_M1	0
41	VSMC	Macrophages_M1	0
42	T_CD4+	Macrophages_M1	0
43	ILC	Macrophages_M1	0
44	B_activated	Macrophages_M1	0
45	Macrophages_M2	Macrophages_M1	0
46	DC_pDC	Macrophages_M1	0
47	NK	Macrophages_M1	0
48	B_preGC	DC_cDC1	0
49	B_mem	DC_cDC1	0
50	Macrophages_M1	DC_cDC1	0
51	DC_cDC1	DC_cDC1	0
52	NKT	DC_cDC1	0
53	Mast	DC_cDC1	0
54	Monocytes	DC_cDC1	0
55	Endo	DC_cDC1	0
56	DC_cDC2	DC_cDC1	0
57	VSMC	DC_cDC1	0
58	T_CD4+	DC_cDC1	0
59	ILC	DC_cDC1	0
60	B_activated	DC_cDC1	0
61	Macrophages_M2	DC_cDC1	0
62	DC_pDC	DC_cDC1	0
63	NK	DC_cDC1	0
64	B_preGC	NKT	0
65	B_mem	NKT	0
66	Macrophages_M1	NKT	0
67	DC_cDC1	NKT	0
68	NKT	NKT	39
69	Mast	NKT	0
70	Monocytes	NKT	0
71	Endo	NKT	0
72	DC_cDC2	NKT	0
73	VSMC	NKT	0
74	T_CD4+	NKT	0
75	ILC	NKT	0
76	B_activated	NKT	0
77	Macrophages_M2	NKT	0
78	DC_pDC	NKT	0
79	NK	NKT	0
80	B_preGC	Mast	0
81	B_mem	Mast	0
82	Macrophages_M1	Mast	0
83	DC_cDC1	Mast	0
84	NKT	Mast	0
85	Mast	Mast	19
86	Monocytes	Mast	0
87	Endo	Mast	0
88	DC_cDC2	Mast	0
89	VSMC	Mast	0
90	T_CD4+	Mast	0
91	ILC	Mast	0
92	B_activated	Mast	0
93	Macrophages_M2	Mast	0
94	DC_pDC	Mast	0
95	NK	Mast	0
96	B_preGC	Monocytes	0
97	B_mem	Monocytes	0
98	Macrophages_M1	Monocytes	0
99	DC_cDC1	Monocytes	0
100	NKT	Monocytes	0
101	Mast	Monocytes	0
102	Monocytes	Monocytes	80
103	Endo	Monocytes	0
104	DC_cDC2	Monocytes	0
105	VSMC	Monocytes	0
106	T_CD4+	Monocytes	0
107	ILC	Monocytes	0
108	B_activated	Monocytes	0
109	Macrophages_M2	Monocytes	0
110	DC_pDC	Monocytes	0
111	NK	Monocytes	0
112	B_preGC	Endo	0
113	B_mem	Endo	0
114	Macrophages_M1	Endo	0
115	DC_cDC1	Endo	0
116	NKT	Endo	0
117	Mast	Endo	0
118	Monocytes	Endo	0
119	Endo	Endo	52
