	Source	Target	Weight
0	FDC	FDC	1
1	B_GC_LZ	FDC	7
2	T_CD4+_TfH_GC	FDC	0
3	B_GC_prePB	FDC	4
4	B_Cycling	FDC	11
5	B_GC_DZ	FDC	9
6	FDC	B_GC_LZ	12
7	B_GC_LZ	B_GC_LZ	36
8	T_CD4+_TfH_GC	B_GC_LZ	3
9	B_GC_prePB	B_GC_LZ	30
10	B_Cycling	B_GC_LZ	52
11	B_GC_DZ	B_GC_LZ	37
12	FDC	T_CD4+_TfH_GC	2
13	B_GC_LZ	T_CD4+_TfH_GC	11
14	T_CD4+_TfH_GC	T_CD4+_TfH_GC	2
15	B_GC_prePB	T_CD4+_TfH_GC	10
16	B_Cycling	T_CD4+_TfH_GC	11
17	B_GC_DZ	T_CD4+_TfH_GC	9
18	FDC	B_GC_prePB	11
19	B_GC_LZ	B_GC_prePB	36
20	T_CD4+_TfH_GC	B_GC_prePB	3
21	B_GC_prePB	B_GC_prePB	27
22	B_Cycling	B_GC_prePB	52
23	B_GC_DZ	B_GC_prePB	37
24	FDC	B_Cycling	17
25	B_GC_LZ	B_Cycling	66
26	T_CD4+_TfH_GC	B_Cycling	7
27	B_GC_prePB	B_Cycling	57
28	B_Cycling	B_Cycling	261
29	B_GC_DZ	B_Cycling	76
30	FDC	B_GC_DZ	12
31	B_GC_LZ	B_GC_DZ	34
32	T_CD4+_TfH_GC	B_GC_DZ	3
33	B_GC_prePB	B_GC_DZ	28
34	B_Cycling	B_GC_DZ	50
35	B_GC_DZ	B_GC_DZ	33
