,0
HES4,0
ISG15,5
TNFRSF4,2
ANKRD65,0
VWA1,0
ATAD3B,1
MEGF6,0
TPRG1L,2
KCNAB2,2
TNFRSF25,2
CAMTA1,1
TNFRSF9,0
ERRFI1,0
SLC2A5,3
H6PD,2
SRM,4
FBXO6,5
PDPN,0
EFHD2,0
FBXO42,2
NECAP2,1
RCC2,1
NBL1,0
PLA2G2D,0
ALPL,0
HSPG2,0
C1QA,0
C1QC,0
C1QB,0
KDM1A,1
E2F2,1
ID3,0
FUCA1,0
CNR2,3
RCAN3,2
CLIC4,1
MACO1,2
LDLRAP1,2
MAN1C1,2
SELENON,0
STMN1,1
HMGN2,1
RPS6KA1,2
NUDC,1
MAP3K6,2
FGR,0
IFI6,5
THEMIS2,0
ATP5IF1,1
SNHG3,2
SDC3,0
SNRNP40,1
TINAGL1,0
KHDRBS1,1
EIF3I,1
LCK,2
HDAC1,2
MARCKSL1,1
ZBTB8OS,1
RBBP4,1
SYNC,2
RNF19B,0
GJA4,0
PSMB2,1
MAP7D1,2
MEAF6,2
CDCA8,1
BMP8A,0
HEYL,0
SLC2A1,3
TIE1,0
CDC20,1
KIF2C,1
MMACHC,1
PRDX1,1
NASP,1
MAST2,1
RAD54L,1
EPS15,1
NDC1,1
HSPB11,1
PLPP3,1
USP1,1
PDE4B,0
GADD45A,2
FUBP1,2
IFI44L,5
IFI44,5
ADGRL4,0
LINC01781,3
CCN1,0
LMO4,1
GBP1,2
GBP2,2
GBP4,2
GBP5,2
MTF2,1
CNN3,0
TRMT13,2
VCAM1,3
S1PR1,0
CSF1,0
AL365361.1,2
DRAM2,3
CEPT1,3
AL355816.2,2
DENND2D,2
CHI3L2,3
C1orf162,2
MOV10,2
RHOC,0
RSBN1,2
CD2,2
TENT5C,4
PHGDH,1
SEC22B,1
PLEKHO1,3
ANP32E,1
CTSS,0
C1orf56,2
CDC42SE1,2
S100A10,1
S100A9,0
S100A8,0
S100A4,2
S100A16,0
S100A13,0
INTS3,2
RAB13,0
PBXIP1,2
SHC1,0
CKS1B,1
MSTO1,2
ARHGEF2,2
LMNA,0
SEMA4A,1
CCT3,1
MEF2D,1
NES,0
PRCC,1
SH2D2A,2
FCRL5,3
FCRL3,3
FCRL2,3
FCRL1,3
CD5L,4
CD1D,3
CD1C,3
CADM3,0
ACKR1,0
DUSP23,0
SLAMF8,0
PEA15,0
SLAMF7,4
F11R,0
ADAMTS4,0
FCER1G,0
FCGR2A,0
FCGR2B,3
FCRLA,3
RGS5,0
NUF2,1
UCK2,1
CD247,2
RCSD1,3
MPC2,1
TIPRL,1
SELP,0
SELE,3
PRRX1,0
PRDX6,1
RABGAP1L,1
CACYBP,1
RALGPS2,3
GLUL,0
RGS16,0
NPL,1
DHX9,1
LAMC1,0
SMG7,1
TPR,2
PTGS2,0
RGS1,2
RGS13,1
RGS2,0
CFH,0
ASPM,1
LAD1,0
CSRP1,0
LMOD1,0
PTPN7,2
UBE2T,1
ADIPOR1,1
CHI3L1,0
BTG2,4
FMOD,0
SNRPE,1
PIK3C2B,3
NFASC,2
NUCKS1,1
RASSF5,2
FCMR,3
FCAMR,1
CR2,3
CR1,3
CD46,2
CD34,0
G0S2,1
TRAF3IP3,2
TRAF5,2
ATF3,0
CENPF,1
C1orf115,0
CAPN2,2
CNIH4,1
LBR,1
PARP1,1
ITPKB,2
OBSCN,2
GNPAT,2
COA6,1
CHRM3-AS2,2
ZBTB18,2
CMPK2,5
RSAD2,5
LINC01871,2
ID2,0
YWHAQ,1
RRM2,1
ODC1,1
SMC6,3
LAPTM4A,0
SDC1,4
RHOB,0
SF3B6,1
ITSN2,2
CENPA,1
EMILIN1,0
SLC5A6,1
FOSL2,0
LBH,2
LTBP1,1
RASGRP3,1
CRIM1,0
EIF2AK2,5
PRKD3,1
EML4,2
AC010883.3,2
EPAS1,0
RHOQ,3
MSH2,1
MSH6,1
EML6,1
RTN4,0
CCDC88A,1
EFEMP1,0
BCL11A,3
MDH1,1
SPRED2,1
PLEK,0
GFPT1,1
AAK1,2
SNRPG,1
CYP26B1,0
ACTG2,0
MOB1A,1
TRABD2A,2
CAPG,0
GGCX,2
GNLY,2
RMND5A,1
CD8A,2
CD8B,2
KRCC1,1
IGKC,4
MAL,2
DUSP2,2
TMEM127,1
NCAPH,1
ARID5A,2
ZAP70,2
TMEM131,2
MGAT4A,2
AFF3,3
RNF149,0
MAP4K4,1
MALL,0
BUB1,1
ZC3H6,2
SLC20A1,0
NT5DC4,0
IL1B,0
ACTR3,1
MARCO,0
DBI,1
GYPC,1
MYO7B,3
UGGT1,1
IMP4,1
PTPN18,3
MZT2A,1
MGAT5,3
TMEM163,0
MCM6,1
ZEB2,0
RND3,0
ARL5A,1
NR4A2,0
CYTIP,2
PKP4,2
LY75,1
RBMS1,0
DHRS9,1
PPIG,1
SSB,1
CYBRD1,0
HAT1,1
ITGA6,2
PDK1,4
CDCA7,1
DNAJC10,3
FRZB,0
CALCRL,0
TFPI,0
COL3A1,0
SLC40A1,0
STAT1,2
STAT4,2
MYO1B,3
CAVIN2,0
HSPE1,1
SPATS2L,1
NDUFB3,1
CD28,2
CTLA4,2
ICOS,2
INO80D,2
LINC01857,3
PIKFYVE,2
FN1,0
IGFBP5,0
TNS1,0
CYP27A1,0
ANKZF1,2
DES,0
WDFY1,2
SERPINE2,1
CCL20,0
SP110,3
CAB39,1
ITM2C,4
COPS7B,2
NPPC,1
HJURP,1
ARL4C,0
ACKR3,0
COL6A3,0
RAMP1,1
AC104809.2,0
PASK,2
PDCD1,1
BHLHE40,0
OGG1,1
CAMK1,1
BRK1,1
FBLN2,0
LSM3,1
OXNAD1,2
RFTN1,1
SATB1,2
UBE2E1,1
TGFBR2,0
OSBPL10,3
CMTM6,0
UBP1,2
SLC25A38,2
TRAK1,3
LTF,3
ALS2CL,2
PTPN23,2
LAMB2,0
UBA7,2
HYAL2,0
MANF,4
SEMA3G,0
STAB1,0
GNL3,1
MUSTN1,0
PRKCD,1
ARHGEF3,2
APPL1,1
FLNB,0
DNASE1L3,0
