,gene_clusters,localization_score,ensembl
HES4,0,1.5921014520683845,ENSG00000188290
ISG15,5,1.673445050807063,ENSG00000187608
TNFRSF4,2,1.2065428697171927,ENSG00000186827
ANKRD65,0,1.953949364325236,ENSG00000235098
VWA1,0,1.4299931070146468,ENSG00000179403
ATAD3B,1,1.1869255766074964,ENSG00000160072
MEGF6,0,1.527389119637286,ENSG00000162591
TPRG1L,2,1.3163299518834712,ENSG00000158109
KCNAB2,2,0.945944783226598,ENSG00000069424
TNFRSF25,2,1.557244834613181,ENSG00000215788
CAMTA1,1,1.2737018288635855,ENSG00000171735
TNFRSF9,0,2.228463751295479,ENSG00000049249
ERRFI1,0,1.74983353659405,ENSG00000116285
SLC2A5,3,1.4772309182297445,ENSG00000142583
H6PD,2,1.2155799892629575,ENSG00000049239
SRM,4,0.9433836521329136,ENSG00000116649
FBXO6,5,1.625213564442661,ENSG00000116663
PDPN,0,1.8906598376549824,ENSG00000162493
EFHD2,0,1.0521456702282366,ENSG00000142634
FBXO42,2,1.4141824305546316,ENSG00000037637
NECAP2,1,0.957871691576483,ENSG00000157191
RCC2,1,0.8870993109404105,ENSG00000179051
NBL1,0,1.6186331680909396,ENSG00000158747
PLA2G2D,0,1.2384606411543582,ENSG00000117215
ALPL,0,1.784323679055083,ENSG00000162551
HSPG2,0,1.4834127303435394,ENSG00000142798
C1QA,0,1.2994185802354743,ENSG00000173372
C1QC,0,1.668644361104964,ENSG00000159189
C1QB,0,1.595053102631818,ENSG00000173369
KDM1A,1,1.2163975420778474,ENSG00000004487
E2F2,1,1.8079347223659223,ENSG00000007968
ID3,0,0.9609377036745088,ENSG00000117318
FUCA1,0,1.2935045300062338,ENSG00000179163
CNR2,3,1.6462737368417375,ENSG00000188822
RCAN3,2,1.364311683724858,ENSG00000117602
CLIC4,1,1.248874266929961,ENSG00000169504
MACO1,2,1.3381555815647816,ENSG00000204178
LDLRAP1,2,1.6167109760008231,ENSG00000157978
MAN1C1,2,2.0163041622195976,ENSG00000117643
SELENON,0,1.4524657949403827,ENSG00000162430
STMN1,1,1.072344497788007,ENSG00000117632
HMGN2,1,0.534801587021411,ENSG00000198830
RPS6KA1,2,0.979137271500132,ENSG00000117676
NUDC,1,0.9350584903185613,ENSG00000090273
MAP3K6,2,1.574543038721371,ENSG00000142733
FGR,0,1.4234210775535476,ENSG00000000938
IFI6,5,1.77464319198122,ENSG00000126709
THEMIS2,0,0.995904371287902,ENSG00000130775
ATP5IF1,1,0.6986067419027016,ENSG00000130770
SNHG3,2,0.7870223320664486,ENSG00000242125
SDC3,0,1.757704788833326,ENSG00000162512
SNRNP40,1,1.2223191992515252,ENSG00000060688
TINAGL1,0,1.8245177970068884,ENSG00000142910
KHDRBS1,1,0.7934260261955953,ENSG00000121774
EIF3I,1,0.8019490470603623,ENSG00000084623
LCK,2,0.8744572598467377,ENSG00000182866
HDAC1,2,0.7815108106230235,ENSG00000116478
MARCKSL1,1,0.8938058265604345,ENSG00000175130
ZBTB8OS,1,1.235997526091563,ENSG00000176261
RBBP4,1,0.7421303785900696,ENSG00000162521
SYNC,2,1.938245149970492,ENSG00000162520
RNF19B,0,1.5564824335350609,ENSG00000116514
GJA4,0,1.4447401618655136,ENSG00000187513
PSMB2,1,0.9695713567620924,ENSG00000126067
MAP7D1,2,1.0033787273478656,ENSG00000116871
MEAF6,2,1.1850521121600652,ENSG00000163875
CDCA8,1,1.82729066274002,ENSG00000134690
BMP8A,0,2.900217012557627,ENSG00000183682
HEYL,0,1.9143390489116328,ENSG00000163909
SLC2A1,3,1.3900743488016778,ENSG00000117394
TIE1,0,2.146384702082194,ENSG00000066056
CDC20,1,1.641089172026435,ENSG00000117399
KIF2C,1,1.810053543164816,ENSG00000142945
MMACHC,1,1.8335432753399703,ENSG00000132763
PRDX1,1,0.5734171965033069,ENSG00000117450
NASP,1,0.8814355228900419,ENSG00000132780
MAST2,1,1.7972854663197997,ENSG00000086015
RAD54L,1,1.831752054196465,ENSG00000085999
EPS15,1,0.9888176748267176,ENSG00000085832
NDC1,1,1.6098935038871507,ENSG00000058804
HSPB11,1,1.2940856727469716,ENSG00000081870
PLPP3,1,1.5229267541412126,ENSG00000162407
USP1,1,1.380817786216863,ENSG00000162607
PDE4B,0,1.099789157675124,ENSG00000184588
GADD45A,2,1.5681516580102544,ENSG00000116717
FUBP1,2,0.8142143756926271,ENSG00000162613
IFI44L,5,2.0392031219751217,ENSG00000137959
IFI44,5,1.6652178987506427,ENSG00000137965
ADGRL4,0,1.9284771993283751,ENSG00000162618
LINC01781,3,1.849770759551328,ENSG00000234184
CCN1,0,0.9054836837392112,ENSG00000142871
LMO4,1,1.299639604335854,ENSG00000143013
GBP1,2,1.5262329065779272,ENSG00000117228
GBP2,2,1.2862485163246895,ENSG00000162645
GBP4,2,1.226587891869708,ENSG00000162654
GBP5,2,1.4675300291971551,ENSG00000154451
MTF2,1,1.4168540655940278,ENSG00000143033
CNN3,0,1.3608177643646462,ENSG00000117519
TRMT13,2,1.4290695975902368,ENSG00000122435
VCAM1,3,1.2122300928259402,ENSG00000162692
