,0
Rb1cc1,0
Pcmtd1,0
Mcm3,2
Phf3,0
Neurl3,1
Arid5a,0
Cox5b,2
Tmem131,0
Mitd1,5
Aff3,1
Rpl31,1
Map4k4,0
Il18r1,4
Il18rap,3
Stat1,5
Nab1,3
Hspd1,2
Hspe1,2
Clk1,0
Cflar,1
Nop58,2
Cd28,4
Ctla4,4
Icos,4
Eef1b2,1
Klf7,1
Ikzf2,1
Arpc2,3
Trip12,0
Sp110,5
Sp100,3
Itm2c,4
Ncl,2
Ptma,2
Arl4c,0
Ramp1,1
Hdac4,0
Pdcd1,4
Bcl2,0
Tmem37,3
Dbi,2
Ddx18,2
Actr3,4
Tmem163,3
Mcm6,2
Cd55,0
Ikbke,1
Nucks1,2
Elk4,0
Mdm4,0
Snrpe,1
Lax1,4
Btg2,0
Kdm5b,0
Kif21b,3
Gm19705,5
Ptprc,0
Rgs2,0
Rgs1,0
1700025G04Rik,3
Arpc5,4
Rgs16,4
Ier5,0
Cep350,0
Tor1aip2,5
Gm2000,1
4930523C07Rik,0
Gas5,1
Fasl,0
Suco,0
Sell,1
Atp1b1,1
Xcl1,1
Fcgr2b,0
Gm10522,0
Fcer1g,4
Slamf7,3
Cd48,3
Cd84,3
Slamf6,4
Pea15a,3
Tagln2,2
Ifi206,5
Ifi214,5
Ifi213,5
Ifi209,5
Ifi208,5
Mndal,5
Ifi203,5
Hnrnpu,2
Itpkb,0
Ephx1,1
Cenpf,2
Hsd11b1,4
G0s2,1
Atp5c1,4
Vim,4
Otud1,0
Apbb1ip,3
Pnpla7,0
Tubb4b,2
Bmyc,1
Notch1,0
Lcn4,1
Setx,0
Set,2
Ass1,1
Fam78a,1
Prrc2b,0
Fam102a,0
Sh2d3c,4
Rpl12,1
Hspa5,2
Traf1,4
Arhgap15,1
Zeb2,3
Nr4a2,0
Dapl1,1
March7,0
Dpp4,4
Ifih1,5
Pdk1,1
Atp5g3,2
Hnrnpa3,2
Nfe2l2,1
Itga4,3
Selenoh,2
Ube2l6,5
Madd,0
Phf21a,0
Cd82,3
Nop10,2
Rasgrp1,0
Nusap1,2
Mga,0
Pdia3,2
Gm14085,1
AA467197,4
Dut,2
Dusp2,0
Bcl2l11,4
Zc3h6,0
Slc20a1,0
Cdc25b,3
Pcna,2
Cst7,4
Fkbp1a,4
Sdcbp2,4
Tpx2,2
Acss2,3
Rbm39,0
Samhd1,5
Plcg1,0
Chd6,0
Serinc3,4
Dbndd2,3
Ube2c,2
Ctsa,4
Ncoa3,0
Prex1,3
Zfas1,1
Rnf114,5
Cebpb,0
Zbp1,5
Pmepa1,1
Gnas,4
Rps21,0
Helz2,5
Pcmtd2,3
Pag1,0
Pde7a,0
Rpl22l1,1
Phc3,0
Atp11b,0
Ccna2,2
4932438A13Rik,0
Elf2,0
Mgst2,1
Foxo1,1
Mbnl1,0
Ccnl1,0
Ift80,0
Smc4,2
Sh2d2a,4
Hdgf,2
Sema4a,3
Ash1l,0
Fam189b,1
Krtcap2,1
Cks1b,2
Pbxip1,0
Adar,5
Il6ra,1
Tpm3,2
Rps27,0
Gatad2b,0
S100a13,3
S100a4,4
S100a6,4
S100a11,4
S100a10,4
Tnfaip8l2,4
Ctss,5
Anp32e,2
Plekho1,1
Hist2h4,2
Gm20628,2
Txnip,0
Cd160,4
Tent5c,0
Cd2,4
Hipk1,0
Rsbn1,0
Gm5547,3
Atp5f1,2
2010016I18Rik,0
Dennd2d,1
Lrif1,0
Cd53,4
S1pr1,3
A930005H10Rik,1
Dph5,1
1810037I17Rik,2
Snhg8,0
Camk2d,0
Fam241a,1
Lef1os1,0
Lef1,1
Nfkb1,0
H2afz,2
Gbp5,5
Gbp7,5
Gbp2,5
Rps20,1
Gm11808,0
Tox,3
Chd7,1
Trp53inp1,3
Gem,3
Cpne3,0
Pnisr,0
Bach2,1
Mdn1,2
Pnrc1,0
Zfp292,0
Ddx58,5
Smim27,0
B4galt1,0
Cd72,1
Sit1,1
Zcchc7,0
Anp32b,2
Sec61b,2
Smc2,2
Txn1,2
Ugcg,3
Tnfsf8,1
Rps6,1
Jun,0
Patj,1
Jak1,3
Pde4b,1
Usp24,0
Tut4,0
Prdx1,2
Cdc20,2
Ybx1,2
Macf1,0
Cdca8,2
Zc3h12a,0
Sfpq,2
Laptm5,3
Epb41,0
Snhg12,0
Snhg3,2
Atpif1,2
Smpdl3b,3
Rpa2,3
Arid1a,0
Hmgn2,2
Cd52,1
Sh3bgrl3,1
Stmn1,2
Ldlrap1,3
Tmem50a,3
Rsrp1,4
Runx3,3
Nipal3,3
Id3,1
Cdc42,3
Pink1,3
Camk2n1,3
Capzb,4
Ubr4,0
Efhd2,3
Prdm2,0
Srm,2
Kif1b,0
Pik3cd,0
Rere,0
Park7,2
Tnfrsf9,2
Thap3,3
Tnfrsf25,0
Tprgl,3
Cdk11b,0
Tnfrsf4,1
Tnfrsf18,4
Isg15,5
AW011738,5
Mterf1a,1
Akap9,0
Tmem243,1
Fgl2,3
5031425E22Rik,0
Kmt2e,3
Kmt2c,0
Rbm33,0
Tyms,2
Cenpa,2
Ywhah,4
Fam53a,0
Slbp,2
Mxd4,3
Nop14,0
Bod1l,0
Arap2,3
Klf3,3
Rhoh,4
Gm43698,1
Txk,0
Fryl,3
Hopx,4
Ythdc1,0
Jchain,1
Pf4,1
Cxcl10,5
Hnrnpd,2
Plac8,4
Gbp8,5
Gbp9,5
Gbp4,5
Gbp10,5
Gbp6,5
Zfp644,0
Rpl5,1
Selplg,3
Oasl2,5
Oasl1,5
Dynll1,2
Cox6a1,2
Tesc,1
Dtx1,0
Oas2,5
Oas3,5
Oas1a,5
Trafd1,5
Hvcn1,1
Arpc3,4
Orai1,4
Setd1b,0
Vps37b,0
Rilpl2,4
Ubc,0
Ran,2
Cct6a,2
Gtf2i,0
Orai2,0
Trim56,0
Gnb2,4
Mepce,0
Mcm7,2
Gpr146,1
Lfng,3
Actb,1
Rac1,1
Tecpr1,1
Arpc1b,3
Atp5j2,2
Polr1d,4
Pan3,0
Pomp,2
Hmgb1,2
Wdr95,3
N4bp2l1,0
Gm20559,5
Samd9l,5
Sem1,2
Ndufa4,2
Gm20186,0
Ube2h,0
Lncpint,0
Ubn2,0
Kdm7a,0
Trbv1,1
Trbv2,1
Trbv3,1
Trbv4,1
Trbv12-1,1
Trbv13-1,1
Trbv12-2,1
Trbv13-2,4
Trbv13-3,3
Trbv14,1
Trbv15,1
Trbv16,1
Trbv17,3
Trbv19,4
Trbv20,4
Trbv23,1
Trbv26,1
Trbv29,0
Trbv30,1
Trbc1,2
Trbc2,0
Trbv31,1
Zyx,3
Ezh2,2
Gimap8,0
Gimap4,4
Gimap6,4
Gimap7,4
Gimap1,3
Gimap5,4
Gimap3,4
Tra2a,0
Cycs,2
Hnrnpa2b1,2
Snx10,3
Avl9,0
Herc6,5
Herc3,0
Tigd2,1
Serbp1,2
Igkv14-111,0
Igkv1-110,1
Igkc,4
Cd8b1,4
Cd8a,1
Kdm3a,0
Vamp8,4
Mat2a,2
Capg,4
Tgoln1,0
Tet3,0
Zfp638,0
1600020E01Rik,0
Cnbp,0
Arl6ip5,3
Foxp1,0
Bhlhe40,0
Arpc4,4
Vgll4,0
Hnrnpf,2
Il17ra,0
Usp18,5
Klrg1,3
Ptpn6,4
Grcc10,4
Atn1,0
Tpi1,2
Cdca3,2
Lag3,4
Ptms,3
Gapdh,2
Cd27,4
Cd9,4
Ccnd2,0
Klrb1c,0
Clec2i,4
Clec2d,4
2310001H17Rik,4
Cd69,0
Klre1,3
Klrd1,3
Klrk1,0
Klrc1,3
Klra6,1
Klra8,3
Klra9,0
Klra7,1
Klra3,3
Klra1,1
Ybx3,4
Cdkn1b,0
Atf7ip,0
H2afj,1
Gm20400,0
Kcnj8,0
Etnk1,5
Itpr2,0
Resf1,0
Leng8,0
Ube2s,2
Lig1,2
Meis3,3
Bbc3,1
Prkd2,0
Calm3,2
Pglyrp1,4
Fosb,0
Relb,1
Bcl3,5
Kcnn4,2
Rps19,1
Rabac1,0
Pou2f2,4
Cic,0
Fbl,2
Zfp36,0
Gmfg,4
Nccrp1,4
Hnrnpl,3
Spint2,1
Zfp260,0
Sdhaf1,1
Tyrobp,1
Hcst,0
Nfkbid,0
Igflr1,1
Zbtb32,4
Cox6b1,2
Gramd1a,0
1600014C10Rik,5
Nkg7,3
Etfb,2
Klk8,1
2410002F23Rik,0
Rcn3,2
Fcgrt,4
Gm45552,4
Flt3l,4
Cd37,4
Ppp1r15a,0
Emp3,3
Ldha,2
Herc2,0
Klf13,0
Chsy1,3
Lrrk1,3
Fam169b,1
Chd2,0
1810026B05Rik,1
Slco3a1,4
AU020206,0
Isg20,5
Idh2,1
Prc1,2
Crtc3,1
Rps17,2
Tm6sf1,3
Hdgfl3,0
Il16,4
Uvrag,1
Ucp2,3
Stard10,3
Pde2a,0
Art2b,5
Numa1,0
Rrm1,2
Hbb-bt,1
Hbb-bs,1
Trim34a,5
Trim12a,5
Trim12c,5
Trim30a,5
Pde3b,1
Arl6ip1,4
Smg1,0
Plk1,2
Tnrc6a,0
Il4ra,1
Il21r,1
Lat,1
Sh2b1,0
Ypel3,3
Aldoa,2
AI467606,3
Spn,3
Sept1,4
Dctpp1,2
Itgal,3
Stx4a,0
Vkorc1,0
Fus,2
Pycard,3
Itgam,3
Itgax,4
Rgs10,1
Bub3,3
Fam53b,0
Mki67,2
Ifitm1,4
Ifitm3,5
Pkp3,4
Irf7,5
Ifitm10,3
Ctsd,3
Lsp1,4
Mrpl23,2
Tspan32,3
Kcnq1ot1,0
Arhgef18,3
Rasa3,3
Tdrp,1
Kbtbd11,1
Ikbkb,1
Kat6a,0
Letm2,0
Nsd3,0
Gm29243,0
Casp3,4
Irf2,3
Hmgb2,2
Ddx60,5
Gmip,0
Ndufa13,4
Lsm4,2
Jund,0
Abhd8,0
Bst2,5
Tpm4,4
Klf2,3
Mcm5,2
Inpp4b,1
Ndufb7,2
Dnajb1,0
Ddx39,2
Adgre5,3
Asf1b,2
Il27ra,1
Gm26532,0
Ier2,0
Trmt1,1
Calr,2
Junb,0
N4bp1,3
Adcy7,0
Rbl2,0
Mt1,4
Nlrc5,5
Adgrg5,0
Rrad,1
Gm5914,1
Psmb10,5
Nfatc3,3
Znrf1,1
Gabarapl2,4
Cotl1,4
Cyba,3
Rnf166,3
Aprt,4
Ankrd11,0
2810013P06Rik,1
Irf2bp2,0
Itgb1,3
Casp1,3
Birc2,0
Birc3,0
Maml2,1
Sesn3,1
Izumo1r,1
Fbxl12,0
Ubl5,2
Shfl,1
Dnmt1,2
Icam1,0
S1pr5,3
Kri1,0
Cdkn2d,3
Slc44a2,3
AB124611,3
Spc24,2
Acp5,3
Herpud2,3
Ets1,0
Nrgn,4
Hspa8,1
Crtam,1
Ubash3b,3
Sorl1,0
Thy1,0
Cbl,0
H2afx,2
Rps25,1
Bcl9l,0
Kmt2a,0
Cd3e,1
Jaml,5
Il10ra,5
Usp28,1
Peak1,0
Cox5a,2
Pml,5
Nptn,3
Pkm,2
2300009A05Rik,1
Tipin,2
Pclaf,2
Ppib,4
Herc1,0
Rps27l,2
Rora,3
Anxa2,2
Ccnb2,2
Ccpg1,0
Lysmd2,1
Cox7a2,2
Phip,0
Tent5a,1
Bcl2a1b,4
Slc9a9,0
Atp1b3,3
Zbtb38,0
Rab6b,0
Tmem108,1
Manf,2
Cish,0
Gnai2,3
Uba7,5
Ip6k1,0
Rhoa,3
Gpx1,2
Impdh2,2
Shisa5,4
Tma7,2
Setd2,0
Als2cl,1
Cmtm7,4
Rps27rt,0
Tgfbr2,0
Eomes,5
Cx3cr1,3
Csrnp1,0
Lars2,0
Ccr9,1
Fyco1,0
Cxcr6,4
Ccr2,4
Fbxo5,2
Ipcef1,4
Utrn,0
Hivep2,0
Cited2,3
Heca,3
Abracl,4
Tnfaip3,0
Ifngr1,4
Sgk1,3
Gm26740,4
Rps12,1
Themis,3
Ncoa7,0
Zup1,5
Calhm6,5
Tspyl1,0
Fyn,3
Sesn1,1
Scml4,1
Gm34006,1
Ascc3,0
Lilr4b,4
Lilrb4a,4
Smpdl3a,4
Ddit4,4
Psap,3
Vsir,4
Prf1,3
Ppa1,2
Srgn,4
Herc4,0
Jmjd1c,0
Arid5b,0
Cdk1,2
Mif,2
Chchd10,2
Itgb2,3
Gzmm,1
Cnn2,4
Arhgap45,0
Cirbp,0
Rps15,2
Izumo4,1
Gadd45b,0
Zbtb7a,0
Matk,3
Tbxa2r,1
Nfic,3
S1pr4,4
Gna15,4
Tle5,1
1500009L16Rik,2
Tcp11l2,4
Hsp90b1,2
Slc25a3,1
Tmpo,2
Cdk17,0
Snrpf,2
Btg1,0
Atp2b1,3
Ppp1r12a,0
Nap1l1,2
Rab3ip,1
Lyz2,1
Rap1b,3
Ifng,0
Dyrk2,0
Ppm1h,0
Ctdsp2,0
B4galnt1,4
Ddit3,1
Stat6,0
Atp5b,2
Stat2,5
Myl6,4
Esyt1,3
Pa2g4,2
Dgka,4
Tespa1,0
Sfi1,0
Pik3ip1,1
Selenom,3
H2afv,2
Snhg15,1
Sec61g,2
Plek,3
Sertad2,0
Peli1,0
Rel,0
Sptbn1,0
Nsg2,1
Hba-a1,1
Hba-a2,1
Stk10,3
Npm1,1
Dock2,0
Ccng1,3
Clint1,0
Itk,0
Irgm1,5
9930111J21Rik2,0
Tgtp2,5
Ifi47,5
Rnf130,1
Sqstm1,3
Clk4,0
Hnrnpab,2
Jade2,0
Tcf7,1
Aff4,0
Irf1,5
Gm12216,5
Rapgef6,0
Hint1,1
Anxa6,3
Larp1,0
Igtp,5
Irgm2,5
2410006H16Rik,1
Pik3r5,0
Aurkb,2
Per1,0
Chd3,0
Kdm6b,0
Eif4a1,2
Polr2a,0
Eif5a,2
Rnf167,1
C1qbp,2
Xaf1,5
Mybbp1a,2
Atp2a3,3
Itgae,1
Rflnb,1
Ssh2,0
Taok1,0
Rpl23a,1
Crlf3,1
Slfn5,5
Slfn8,5
Slfn2,4
Slfn1,5
Ccl5,3
Ccl9,3
Ccl6,0
Ccl3,3
Ccl4,0
Vmp1,3
Supt4a,4
Vezf1,0
Trim25,5
Nme2,1
Nme1,2
Tob1,4
Ppp1r9b,0
Fam117a,3
Zfp652,0
Abi3,1
Gngt2,1
Atp5g1,2
Tbx21,3
Psmb3,2
Arl5c,4
Ikzf3,3
Rara,3
Top2a,2
Igfbp4,1
Ccr7,1
Stat3,0
Ifi35,5
Kansl1,0
Limd2,4
Ddx5,0
Kpna2,2
Bptf,0
Pitpnc1,0
2610035D17Rik,1
Rab37,1
Hid1,3
Armc7,4
Jpt1,1
Sumo2,1
Ubald2,0
Srsf2,2
Snhg20,0
Tnrc6c,0
Tk1,2
Birc5,2
Socs3,1
Cyth1,0
Timp2,3
Lgals3bp,5
Cbx4,0
Rnf213,5
Actg1,4
Arhgdia,3
Alyref,2
Cd7,0
Rhob,0
Fam49a,3
Trib2,1
Lpin1,3
Pdia6,2
Rrm2,2
Id2,3
Rsad2,5
Cmpk2,5
Hbp1,0
Tspan13,1
Ifrd1,0
Dnajb9,2
Nfkbia,0
Rps29,0
Klhdc1,1
Arid4a,0
Prkch,3
Zfp36l1,0
Actn1,0
