,Unnamed: 0,gene_clusters,localization_score,clustering_rank
0,Rb1cc1,0,2.698568965547174,6.4366827
1,Pcmtd1,0,2.648482388506245,7.9586143
2,Mcm3,2,6.370911579065121,67.778984
3,Phf3,0,2.8770840845488004,8.4309
4,Neurl3,1,3.3766785343881454,9.7904415
5,Arid5a,0,2.759615794490349,7.968048
6,Cox5b,2,2.278770129162805,73.82625
7,Tmem131,0,2.588168520016012,11.679875
8,Mitd1,5,3.1547076825104936,22.698236
9,Aff3,1,3.941753372987487,9.489739
10,Rpl31,1,2.3017870659692026,35.73337
11,Map4k4,0,3.058300375263804,7.8040447
12,Il18r1,4,5.211167162053231,44.852848
13,Il18rap,3,5.624447703763889,53.7537
14,Stat1,5,7.230704041347193,58.20742
15,Nab1,3,3.592424585090101,30.032705
16,Hspd1,2,4.040394278448489,52.938877
17,Hspe1,2,3.5910275035267114,35.49256
18,Clk1,0,3.794862677390783,19.369598
19,Cflar,1,2.321991973287469,8.93939
20,Nop58,2,3.813669231762392,38.419746
21,Cd28,4,4.401964251295828,16.938242
22,Ctla4,4,5.3707765948064,13.663555
23,Icos,4,4.706149046731972,24.663975
24,Eef1b2,1,2.170001863971011,59.410694
25,Klf7,1,2.5642437355192933,5.3356876
26,Ikzf2,1,5.261454028614426,13.892012
27,Arpc2,3,2.0794661701600323,44.815685
28,Trip12,0,2.838005034657455,16.058256
29,Sp110,5,3.2282173922817017,14.848523
30,Sp100,3,3.0164337054060457,31.832174
31,Itm2c,4,3.0826158971753683,22.759481
32,Ncl,2,3.164997013726361,41.51378
33,Ptma,2,3.132667863666094,100.706795
34,Arl4c,0,4.568087676135929,27.46898
35,Ramp1,1,4.798970680193012,21.014242
36,Hdac4,0,2.528599027553293,5.3734655
37,Pdcd1,4,9.175530639752116,39.441196
38,Bcl2,0,5.768539323334818,28.068163
39,Tmem37,3,4.364007730591224,14.324361
40,Dbi,2,3.211418077695105,81.75679
41,Ddx18,2,3.5352236827515244,25.266031
42,Actr3,4,2.408901746132167,39.767715
43,Tmem163,3,5.565695552838505,42.151558
44,Mcm6,2,5.377542651174957,53.87545
45,Cd55,0,3.668064171697145,7.803605
46,Ikbke,1,2.860834855957916,7.871926
47,Nucks1,2,3.992538296290313,71.03084
48,Elk4,0,2.8892781717918874,6.9197645
49,Mdm4,0,2.829788493356274,8.092315
50,Snrpe,1,1.9586426043125784,71.84299
51,Lax1,4,4.024966263119882,32.44696
52,Btg2,0,3.7535299086171934,37.184418
53,Kdm5b,0,2.7424383035565705,6.01001
54,Kif21b,3,3.280127115027856,11.667752
55,Gm19705,5,3.9232896156928807,12.29708
56,Ptprc,0,2.3688749627989063,27.469606
57,Rgs2,0,3.994084123174357,10.130882
58,Rgs1,0,5.563254712984707,20.093851
59,1700025G04Rik,3,5.887669196428078,26.287775
60,Arpc5,4,3.0126513820428302,44.74776
61,Rgs16,4,5.263083598473275,10.479106
62,Ier5,0,5.0056023044343965,29.616913
63,Cep350,0,2.883969135101563,11.686277
64,Tor1aip2,5,2.994825692819095,15.291135
65,Gm2000,1,2.706536771887746,18.679632
66,4930523C07Rik,0,2.9474759746118804,11.492774
67,Gas5,1,4.107607885813157,75.44975
68,Fasl,0,4.917169436713495,32.246956
69,Suco,0,3.1181273181947837,10.023623
70,Sell,1,5.316853783278392,50.838142
71,Atp1b1,1,3.3066127009924706,11.280052
72,Xcl1,1,8.127459449506627,26.535053
73,Fcgr2b,0,5.440225563540843,14.809703
74,Gm10522,0,5.719064880321872,14.387002
75,Fcer1g,4,5.228919884602885,14.914403
76,Slamf7,3,3.621505465319172,31.729507
77,Cd48,3,2.8951196950132165,46.749725
78,Cd84,3,2.83757915889956,9.950511
79,Slamf6,4,5.34877858477698,14.837069
80,Pea15a,3,3.047136375492322,9.503693
81,Tagln2,2,3.6704485947135272,49.453278
82,Ifi206,5,4.81673992887754,17.953217
83,Ifi214,5,4.199849711735965,12.04478
84,Ifi213,5,5.727990533710134,26.441872
85,Ifi209,5,4.644682508700287,21.063705
86,Ifi208,5,5.052409380365612,22.751036
87,Mndal,5,3.959597356678691,18.989265
88,Ifi203,5,4.415593248069142,24.22556
89,Hnrnpu,2,2.815120852029409,41.440514
90,Itpkb,0,3.749021052238712,9.749461
91,Ephx1,1,3.893038747765028,8.9242325
92,Cenpf,2,8.413369292889314,48.277878
93,Hsd11b1,4,3.342782405865658,30.604313
94,G0s2,1,3.849535165416032,7.5261927
95,Atp5c1,4,2.373178941084259,30.25708
96,Vim,4,3.737388884782164,65.339424
97,Otud1,0,3.816228069404356,7.669233
98,Apbb1ip,3,3.4892381875542022,43.945686
99,Pnpla7,0,2.7872267782844737,5.3193855
100,Tubb4b,2,5.165389962054198,69.439224
101,Bmyc,1,2.85893251674752,8.278621
102,Notch1,0,2.922036006193825,16.087461
103,Lcn4,1,4.125187673961866,15.778213
104,Setx,0,2.8726516368953017,11.080015
105,Set,2,2.925031075854917,54.831146
106,Ass1,1,3.748974130990727,31.1874
107,Fam78a,1,3.3181502530328784,10.047143
108,Prrc2b,0,3.3278242291827764,9.987366
109,Fam102a,0,3.1333266763908925,5.78635
110,Sh2d3c,4,2.935524363356964,10.79762
111,Rpl12,1,2.5446062757120247,74.70679
112,Hspa5,2,4.211276865300413,50.19822
113,Traf1,4,4.418843017085061,20.353535
114,Arhgap15,1,3.242384615754705,11.527955
115,Zeb2,3,9.219329596166231,57.94616
116,Nr4a2,0,6.750408041777045,15.589213
117,Dapl1,1,5.099994469031663,32.255814
118,March7,0,2.6117494587606584,9.408293
119,Dpp4,4,3.35639126416383,7.6832905
120,Ifih1,5,4.059869604745304,9.729622
121,Pdk1,1,3.0186632291164024,11.512286
122,Atp5g3,2,2.302538996399768,85.13479
123,Hnrnpa3,2,1.994553367209629,63.62723
124,Nfe2l2,1,2.513271033790363,5.2770085
125,Itga4,3,4.364995191396696,61.33694
126,Selenoh,2,3.6273218517608776,81.13121
127,Ube2l6,5,4.588389588841337,6.8913527
128,Madd,0,2.6211144925400705,8.100763
129,Phf21a,0,3.090878036240723,8.029424
130,Cd82,3,3.665002146222726,37.0045
131,Nop10,2,3.274300370393717,16.697844
132,Rasgrp1,0,3.365506045692896,10.278773
133,Nusap1,2,8.225986477920301,45.49845
134,Mga,0,2.824979719087716,5.581279
135,Pdia3,2,2.835580352970165,57.214756
136,Gm14085,1,3.7460565782082185,7.9449563
137,AA467197,4,5.121054855034354,28.659245
138,Dut,2,5.247713649225827,84.50738
139,Dusp2,0,4.501893080425872,18.33947
140,Bcl2l11,4,4.836031509783356,19.100016
141,Zc3h6,0,2.698903399515657,5.0158634
142,Slc20a1,0,3.0726028997936345,13.058904
143,Cdc25b,3,4.33305211894931,39.120052
144,Pcna,2,5.39885498753069,69.83255
145,Cst7,4,4.280481605732471,32.82791
146,Fkbp1a,4,3.03114958858798,43.495693
147,Sdcbp2,4,5.407502751366986,29.819887
148,Tpx2,2,7.002835199498507,62.892006
149,Acss2,3,4.5772533501631925,21.453712
150,Rbm39,0,2.3698356372334186,34.866642
151,Samhd1,5,5.170051058302368,31.427683
152,Plcg1,0,3.1492314644836257,5.1906056
153,Chd6,0,2.628752211925214,5.1342497
154,Serinc3,4,3.3102519691627674,49.222088
155,Dbndd2,3,3.684675831120488,8.660718
156,Ube2c,2,7.8675813355833535,72.657166
157,Ctsa,4,4.117841527709156,48.359238
158,Ncoa3,0,2.706962800949208,5.563906
159,Prex1,3,4.678802339456888,28.377308
160,Zfas1,1,5.882368393684623,30.996584
161,Rnf114,5,3.7291297215530954,16.082176
162,Cebpb,0,3.862840739373833,12.642732
163,Zbp1,5,7.077952404462003,30.021317
164,Pmepa1,1,2.946318097238754,8.745387
165,Gnas,4,2.309267679539538,31.573725
166,Rps21,0,2.070044863600321,69.22103
167,Helz2,5,3.778170231622458,11.950214
168,Pcmtd2,3,2.562457615379116,6.010792
169,Pag1,0,3.0191905210044108,18.551554
170,Pde7a,0,3.78489427204958,18.337202
171,Rpl22l1,1,2.5274761182804912,42.014828
172,Phc3,0,2.899676628132074,6.0283074
173,Atp11b,0,2.6128422039953483,6.1265264
174,Ccna2,2,6.6529552497943865,73.842255
175,4932438A13Rik,0,2.983850324256912,5.1704144
176,Elf2,0,2.7059725330459,12.928527
177,Mgst2,1,3.987173755717461,20.032127
178,Foxo1,1,3.3226536288510493,14.337748
179,Mbnl1,0,2.79249965122946,16.642176
180,Ccnl1,0,3.180684535979075,13.538532
181,Ift80,0,3.4063694809378746,5.6163864
182,Smc4,2,4.731259404459802,41.218327
183,Sh2d2a,4,4.63367318167431,41.53095
184,Hdgf,2,3.0391385585612767,50.13446
185,Sema4a,3,3.057628205139728,14.715057
186,Ash1l,0,2.6138660414757195,4.940621
187,Fam189b,1,2.724669183705816,14.575784
188,Krtcap2,1,2.280656591388567,31.805573
189,Cks1b,2,5.934306123328174,88.94898
190,Pbxip1,0,3.01325172813356,7.9594736
191,Adar,5,3.486510604621774,14.300166
192,Il6ra,1,3.8074657529029694,15.213813
193,Tpm3,2,2.744461742612966,41.67886
194,Rps27,0,1.7420773703937578,84.074196
195,Gatad2b,0,2.6238403358187146,9.96606
196,S100a13,3,2.716963662011074,42.980724
197,S100a4,4,6.024089892577244,90.28498
198,S100a6,4,3.793745709630212,85.10181
199,S100a11,4,3.529539640604156,82.04777
200,S100a10,4,2.3091623122924574,72.92375
201,Tnfaip8l2,4,3.664533507920478,27.350107
202,Ctss,5,3.37742063310948,19.587418
203,Anp32e,2,3.803928809411021,64.07309
204,Plekho1,1,4.075582583675992,4.978949
205,Hist2h4,2,5.485037687199065,27.185572
206,Gm20628,2,7.283841009161836,32.610447
207,Txnip,0,3.3210055089919286,31.01802
208,Cd160,4,5.456007241186938,33.09217
209,Tent5c,0,3.830713475055024,11.713858
210,Cd2,4,2.7889435765329917,51.95478
211,Hipk1,0,3.618850796926525,12.396882
212,Rsbn1,0,2.609108730813507,8.372912
213,Gm5547,3,3.4428962548492974,15.312056
214,Atp5f1,2,2.3763077970686948,48.895794
215,2010016I18Rik,0,3.1517765842300007,5.6033278
216,Dennd2d,1,4.406414105535434,21.708576
217,Lrif1,0,2.779313542757837,11.199348
218,Cd53,4,3.154195741451418,18.75203
219,S1pr1,3,3.205982524287877,14.251172
220,A930005H10Rik,1,3.166212635611868,13.948899
221,Dph5,1,2.6847813570361305,9.130671
222,1810037I17Rik,2,2.4385877656246038,51.529827
223,Snhg8,0,3.3105838387467488,21.361288
224,Camk2d,0,3.2118874798984804,7.8238277
225,Fam241a,1,4.370562186845342,30.142607
226,Lef1os1,0,2.971634934052694,4.3177366
227,Lef1,1,3.812984406041264,42.782635
228,Nfkb1,0,2.6890727624011728,9.814194
229,H2afz,2,2.636483376920458,89.10852
230,Gbp5,5,3.48341870989168,4.4193683
231,Gbp7,5,4.072835794497824,16.134125
232,Gbp2,5,7.987822771460881,29.618479
233,Rps20,1,1.6063289805352852,94.53732
234,Gm11808,0,3.1184974658993725,31.055021
235,Tox,3,9.794400415522173,27.219809
236,Chd7,1,2.946397732305877,12.103855
237,Trp53inp1,3,3.698143413219297,9.157494
238,Gem,3,3.7955047660959735,19.877306
239,Cpne3,0,3.1025985040782,8.590425
240,Pnisr,0,2.868053037336483,8.205433
241,Bach2,1,3.221534632726067,13.726884
242,Mdn1,2,3.2055352430450057,8.566713
243,Pnrc1,0,4.933377631368376,50.65012
244,Zfp292,0,2.662417484451365,5.220364
245,Ddx58,5,4.39583661310786,15.632904
246,Smim27,0,2.756244943610091,11.685398
247,B4galt1,0,2.672457455586083,8.9003525
248,Cd72,1,3.323421086898079,5.35027
249,Sit1,1,4.048207026571689,16.11466
250,Zcchc7,0,3.0603689303224773,9.650835
251,Anp32b,2,2.6521048477106723,82.18915
252,Sec61b,2,2.2218466349434736,50.63129
253,Smc2,2,5.107760484793388,72.8173
254,Txn1,2,3.293954539021379,82.88158
255,Ugcg,3,2.9905985265105555,13.69068
